route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
GVB:1,GVB,1,Osdorp De Aker - Centraal Station,,0,,
GVB:10,GVB,10,Westergasfabriek - Azartplein,,0,,
GVB:12,GVB,12,Amstelstation - Station Sloterdijk,,0,,
GVB:13,GVB,13,Geuzenveld - Centraal Station,,0,,
GVB:14,GVB,14,Flevopark - Slotermeer,,0,,
GVB:15,GVB,15,Station Sloterdijk - Station Zuid,,3,,
GVB:16,GVB,16,VU medisch centrum - Centraal Station,,0,,
GVB:17,GVB,17,Osdorp Dijkgraafplein - Centraal Station,,0,,
GVB:18,GVB,18,Slotervaart - Centraal Station,,3,,
GVB:2,GVB,2,Nieuw Sloten - Centraal Station,,0,,
GVB:21,GVB,21,Geuzenveld - Centraal Station,,3,,
GVB:22,GVB,22,Indische Buurt - Station Sloterdijk,,3,,
GVB:231,GVB,231,Station Sloterdijk - Abberdaan,,3,,
GVB:240,GVB,240,Amstelstation - Science Park A'dam,,3,,
GVB:245,GVB,245,Oostzanerdijk - Schiphol Zuid,,3,,
GVB:246,GVB,246,Borneolaan - Schiphol Zuid,,3,,
GVB:247,GVB,247,Bos en Lommerplein - Schiphol Zuid,,3,,
GVB:248,GVB,248,Snelbus Houthavens - Snelbus Centraal Station,,3,,
GVB:249,GVB,249,Lunaweg - Weesp,,3,,
GVB:26,GVB,26,IJburg - Centraal Station,,0,,
GVB:269,GVB,269,Station Sloterdijk - Dokter Meurerlaan,,3,,
GVB:3,GVB,3,Muiderpoortstation - Zoutkeetsgracht,,0,,
GVB:30,GVB,30,Buikslotermeerplein - Holysloot,,3,,
GVB:31,GVB,31,Buikslotermeerplein - Zunderdorp,,3,,
GVB:32,GVB,32,Buikslotermeerplein - Centraal Station,,3,,
GVB:33,GVB,33,Nieuwendam - Centraal Station,,3,,
GVB:34,GVB,34,Buikslotermeerplein - Centraal Station,,3,,
GVB:35,GVB,35,Molenwijk - Centraal Station,,3,,
GVB:36,GVB,36,Station Sloterdijk - Buikslotermeerplein,,3,,
GVB:37,GVB,37,Molenwijk - Amstelstation,,3,,
GVB:38,GVB,38,Molenwijk - Elzenhagen Noord,,3,,
GVB:4,GVB,4,Station RAI - Centraal Station,,0,,
GVB:40,GVB,40,Amstelstation - Muiderpoortstation,,3,,
GVB:41,GVB,41,Station Holendrecht - Muiderpoortstation,,3,,
GVB:44,GVB,44,Station Bijlmer ArenA - Diemen Noord,,3,,
GVB:461,GVB,461,Gelderlandplein - Zuidas,,3,4ba4d1,000000
GVB:463,GVB,463,Gelderlandplein - Van Nijenrodeweg,,3,7fa818,000000
GVB:47,GVB,47,Station Holendrecht - Station Bijlmer ArenA,,3,,
GVB:48,GVB,48,Houthavens - Borneo Eiland,,3,,
GVB:49,GVB,49,Station Bijlmer ArenA - Station Weesp,,3,,
GVB:5,GVB,5,Amstelveen Stadshart - Centraal Station,,0,,
GVB:50,GVB,50,Isolatorweg - Gein,,1,187a36,ffffff
GVB:51,GVB,51,Westwijk - Centraal Station,,1,FF6600,000000
GVB:53,GVB,53,Gaasperplas - Centraal Station,,1,d81118,ffffff
GVB:54,GVB,54,Gein - Centraal Station,,1,fff200,000000
GVB:61,GVB,61,Station Sloterdijk - Slotervaart,,3,,
GVB:62,GVB,62,Station Lelylaan - Amstelstation,,3,,
GVB:63,GVB,63,Station Lelylaan - Osdorp De Aker,,3,,
GVB:65,GVB,65,KNSM Eiland - Station Zuid,,3,,
GVB:66,GVB,66,Station Bijlmer ArenA - IJburg,,3,,
GVB:69,GVB,69,Station Sloterdijk - Schiphol Airport/Plaza,,3,,
GVB:7,GVB,7,Flevopark - Slotermeer,,0,,
GVB:748,GVB,748,Centraal Station - Station Sloterdijk,,3,,
GVB:752,GVB,752,Centraal Station - Geuzenveld,,3,,
GVB:753,GVB,753,Centraal Station - Osdorp de Aker,,3,,
GVB:754,GVB,754,Centraal Station - A'veen Busstation,,3,,
GVB:755,GVB,755,Centraal Station - Gein,,3,,
GVB:757,GVB,757,Centraal Station - Bijlmermeer,,3,,
GVB:758,GVB,758,Centraal Station - Nieuw Sloten,,3,,
GVB:759,GVB,759,Centraal Station - IJburg,,3,,
GVB:761,GVB,761,Centraal Station - Nieuwendam,,3,,
GVB:763,GVB,763,Centraal Station - Molenwijk,,3,,
GVB:9,GVB,9,Diemen (Sniep) - Centraal Station,,0,,
GVB:900,GVB,900,Distelweg - Houthavens,,4,,
GVB:901,GVB,901,Buiksloterweg - Centraal Station,,4,,
GVB:902,GVB,902,IJplein - Centraal Station,,4,,
GVB:903,GVB,903,Westerdoksdijk - NDSM,,4,,
GVB:905,GVB,905,NDSM - Centraal Station,,4,,
GVB:906,GVB,906,NDSM - Centraal Station,,4,,
GVB:907,GVB,907,Buiksloterwegveer - Centraal Station,,4,,
GVB:909,GVB,909,Hempontplein - Zaandam,,4,,
GVB:910,GVB,910,Spaarndam - Assendelft,,4,,
GVB:911,GVB,911,Velsen Zuid - Velsen Noord,,4,,
GVB:912,GVB,912,Velsen Zuid - Velsen Noord,,4,,
GVB:913,GVB,913,Hempontplein - Zaandam,,4,,
GVB:914,GVB,914,Spaarndam - Assendelft,,4,,
GVB:915,GVB,915,Zamenhofstraat - Azartplein,,4,,
