stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00001,00001,"Amsterdam, Muiderpoortstation",52.361325,4.932872,0,stoparea:GVB:00001,,0,,
GVB:00005,00005,"Amsterdam, Muiderpoortstation",52.361217,4.9328,0,stoparea:GVB:00001,,1,,
GVB:00006,00006,"Amsterdam, Muiderpoortstation",52.361058,4.933682,0,stoparea:GVB:00001,,0,,
GVB:00007,00007,"Amsterdam, Muiderpoortstation",52.361175,4.933563,0,stoparea:GVB:00001,,1,,
GVB:00008,00008,"Amsterdam, Dapperstraat",52.361106,4.929776,0,stoparea:GVB:00008,,0,,
GVB:00010,00010,"Amsterdam, Dapperstraat",52.360923,4.928912,0,stoparea:GVB:00008,,0,,
GVB:00014,00014,"Amsterdam, Wijttenbachstraat",52.36027,4.925073,0,stoparea:GVB:00014,,0,,
GVB:00017,00017,"Amsterdam, Linnaeusstraat",52.360129,4.925735,0,stoparea:GVB:00014,,0,,
GVB:00018,00018,"Amsterdam, Diemerknoop",52.335374,5.002859,0,stoparea:GVB:00018,,0,,
GVB:00019,00019,"Amsterdam, Diemerknoop",52.335428,5.002961,0,stoparea:GVB:00018,,0,,
GVB:00020,00020,"Amsterdam, Beukenweg",52.35906,4.916747,0,stoparea:GVB:00020,,0,,
GVB:00021,00021,"Amsterdam, Beukenweg",52.358298,4.91721,0,stoparea:GVB:00020,,0,,
GVB:00023,00023,"Amsterdam, Beukenplein",52.357016,4.91809,0,stoparea:GVB:00023,,1,,
GVB:00024,00024,"Amsterdam, Beukenplein",52.35725,4.918073,0,stoparea:GVB:00023,,1,,
GVB:00029,00029,"Amsterdam, Pretoriusstraat",52.35707,4.92719,0,stoparea:GVB:00029,,0,,
GVB:00030,00030,"Amsterdam, Pretoriusstraat",52.357392,4.926938,0,stoparea:GVB:00029,,0,,
GVB:00039,00039,"Amsterdam, Hogeweg",52.353579,4.930837,0,stoparea:GVB:00039,,0,,
GVB:00040,00040,"Amsterdam, Hogeweg",52.353212,4.931355,0,stoparea:GVB:00039,,1,,
GVB:00041,00041,"Amsterdam, Maxwellstraat",52.348031,4.93019,0,stoparea:GVB:00041,,0,,
GVB:00044,00044,"Amsterdam, Fizeaustraat",52.345977,4.924326,0,stoparea:GVB:00044,,0,,
GVB:00046,00046,"Amsterdam, Fizeaustraat",52.345888,4.924635,0,stoparea:GVB:00044,,0,,
GVB:00048,00048,"Amsterdam, Lorentzlaan",52.345827,4.931974,0,stoparea:GVB:00048,,0,,
GVB:00049,00049,"Amsterdam, Lorentzlaan",52.346399,4.931308,0,stoparea:GVB:00048,,0,,
GVB:00051,00051,"Amsterdam, Maxwellstraat",52.345511,4.936526,0,stoparea:GVB:00051,,0,,
GVB:00052,00052,"Amsterdam, Maxwellstraat",52.345782,4.936773,0,stoparea:GVB:00051,,0,,
GVB:00053,00053,"Amsterdam, Kruislaan",52.34742,4.939677,0,stoparea:GVB:00053,,0,,
GVB:00054,00054,"Amsterdam, Kruislaan",52.347121,4.93899,0,stoparea:GVB:00053,,0,,
GVB:00055,00055,"Amsterdam, Linnaeusparkweg",52.348649,4.941543,0,stoparea:GVB:00055,,0,,
GVB:00059,00059,"Amsterdam, Radioweg",52.353369,4.939456,0,stoparea:GVB:00059,,0,,
GVB:00060,00060,"Amsterdam, Radioweg",52.353631,4.939791,0,stoparea:GVB:00059,,0,,
GVB:00061,00061,"Amsterdam, Archimedesweg",52.355742,4.939652,0,stoparea:GVB:00061,,0,,
GVB:00062,00062,"Amsterdam, Archimedesweg",52.355563,4.939874,0,stoparea:GVB:00061,,0,,
GVB:00065,00065,"Amsterdam, Hugo de Vrieslaan",52.351015,4.934871,0,stoparea:GVB:00065,,1,,
GVB:00066,00066,"Amsterdam, Hugo de Vrieslaan",52.350729,4.935402,0,stoparea:GVB:00065,,1,,
GVB:00070,00070,"Amsterdam, Kruislaan",52.347897,4.939936,0,stoparea:GVB:00053,,1,,
GVB:00071,00071,"Amsterdam, Kruislaan",52.347612,4.940453,0,stoparea:GVB:00053,,1,,
GVB:00074,00074,"Amsterdam, Brinkstraat",52.342849,4.94797,0,stoparea:GVB:00074,,1,,
GVB:00076,00076,"Amsterdam, Brinkstraat",52.343243,4.947423,0,stoparea:GVB:00074,,0,,
GVB:00079,00079,"Amsterdam, Zaaiersweg",52.339847,4.938403,0,stoparea:GVB:00079,,0,,
GVB:00080,00080,"Amsterdam, Zaaiersweg",52.339007,4.939483,0,stoparea:GVB:00079,,0,,
GVB:00113,00113,"Amsterdam, Dennenrode",52.321911,4.951243,0,stoparea:GVB:00113,,0,,
GVB:00114,00114,"Amsterdam, Dennenrode",52.322094,4.952136,0,stoparea:GVB:00113,,1,,
GVB:00117,00117,"Amsterdam, Station Ganzenhoef",52.322996,4.973219,0,stoparea:GVB:09546,,0,,
GVB:00118,00118,"Amsterdam, Echtenstein",52.324628,4.959518,0,stoparea:GVB:00118,,0,,
GVB:00119,00119,"Amsterdam, Echtenstein",52.324827,4.959722,0,stoparea:GVB:00118,,0,,
GVB:00124,00124,"Amsterdam, Geldershoofd",52.324957,4.970913,0,stoparea:GVB:00124,,0,,
GVB:00125,00125,"Amsterdam, Geldershoofd",52.325172,4.970881,0,stoparea:GVB:00124,,0,,
GVB:00126,00126,"Amsterdam, Grubbehoeve",52.323519,4.976265,0,stoparea:GVB:00126,,0,,
GVB:00127,00127,"Amsterdam, Grubbehoeve",52.323857,4.977656,0,stoparea:GVB:00126,,0,,
GVB:00128,00128,"Amsterdam, Geerdinkhof",52.32287,4.980775,0,stoparea:GVB:00128,,0,,
GVB:00129,00129,"Amsterdam, Geerdinkhof",52.323641,4.980254,0,stoparea:GVB:00128,,0,,
GVB:00134,00134,"Amsterdam, Koornhorst",52.31907,4.984007,0,stoparea:GVB:00134,,0,,
GVB:00135,00135,"Amsterdam, Koornhorst",52.319313,4.98396,0,stoparea:GVB:00134,,1,,
GVB:00141,00141,"Amsterdam, Kraaienneststation",52.316032,4.978681,0,stoparea:GVB:09548,,0,,
GVB:00144,00144,"Amsterdam, Kikkenstein",52.316801,4.972368,0,stoparea:GVB:00144,,0,,
GVB:00145,00145,"Amsterdam, Kikkenstein",52.316218,4.972711,0,stoparea:GVB:00144,,0,,
GVB:00146,00146,"Amsterdam, Gooioord",52.320483,4.969063,0,stoparea:GVB:00146,,0,,
GVB:00147,00147,"Amsterdam, Gooioord",52.319945,4.969361,0,stoparea:GVB:00146,,0,,
GVB:00150,00150,"Amsterdam, Tulastraat",52.31994,4.965357,0,stoparea:GVB:00150,,1,,
GVB:00151,00151,"Amsterdam, Tulastraat",52.319852,4.965842,0,stoparea:GVB:00150,,1,,
GVB:00152,00152,"Amsterdam, Florijn",52.317588,4.958589,0,stoparea:GVB:00152,,1,,
GVB:00153,00153,"Amsterdam, Florijn",52.31778,4.959716,0,stoparea:GVB:00152,,1,,
GVB:00157,00157,"Amsterdam, Dolingadreef",52.319249,4.948468,0,stoparea:GVB:00156,,0,,
GVB:00158,00158,"Amsterdam, Dolingadreef",52.318955,4.949013,0,stoparea:GVB:00158,,,,
GVB:00164,00164,"Amsterdam, Hofgeest",52.312546,4.958608,0,stoparea:GVB:00164,,0,,
